country,medal_tally
United States of America,3094
Soviet Union,1272
Germany,1167
Great Britain,1045
France,952
People's Republic of China,807
Italy,805
Sweden,709
Australia,627
Canada,602
Russian Federation,599
Norway,589
Japan,587
German Democratic Republic (Germany),562
Hungary,559
Netherlands,501
Finland,490
Switzerland,402
Republic of Korea,393
Austria,371
Poland,345
Romania,341
Federal Republic of Germany,266
Bulgaria,240
Cuba,239
Denmark,233
Spain,206
Brazil,180
Czechoslovakia,178
New Zealand,173
Belgium,170
Ukraine,159
Unified Team,141
Greece,129
ROC,119
Belarus,113
Kenya,112
Czech Republic,110
Turkey,103
South Africa,95
Yugoslavia,94
Argentina,87
Jamaica,86
Kazakhstan,80
Mexico,77
Islamic Republic of Iran,76
Croatia,60
Democratic People's Republic of Korea,58
Ethiopia,57
Slovenia,56
Azerbaijan,50
Slovakia,47
Indonesia,47
Estonia,46
Georgia,40
Chinese Taipei,38
Ireland,38
Latvia,36
Uzbekistan,36
Egypt,36
Thailand,35
India,35
Colombia,34
Portugal,33
MIX,31
Mongolia,30
Lithuania,30
Nigeria,27
Serbia,25
Morocco,24
Malaysia,19
Trinidad and Tobago,19
Venezuela,19
Armenia,18
Olympic Athletes from Russia,18
Bahamas,18
Algeria,17
Tunisia,15
Philippines,14
Chile,14
Israel,13
Uruguay,12
Dominican Republic,12
Australasia,12
Uganda,11
"Hong Kong, China",10
Pakistan,10
Puerto Rico,10
Liechtenstein,10
Qatar,9
Serbia and Montenegro,9
Zimbabwe,8
Republic of Moldova,7
Kyrgyzstan,7
Cameroon,6
Namibia,5
Ghana,5
Singapore,5
Luxembourg,5
Independent Olympic Athletes,5
Ecuador,5
Bohemia,4
Tajikistan,4
C̫te d'Ivoire,4
Costa Rica,4
Saudi Arabia,4
San Marino,4
Iceland,4
Syrian Arab Republic,4
Bahrain,4
Lebanon,4
Peru,4
Vietnam,4
Jordan,3
Kosovo,3
Panama,3
Grenada,3
Fiji,3
Kuwait,3
United Arab Emirates,2
Burundi,2
United Arab Republic,2
United Republic of Tanzania,2
Botswana,2
West Indies Federation,2
Zambia,2
Bermuda,2
Niger,2
Afghanistan,2
Haiti,2
North Macedonia,2
Mozambique,2
Sri Lanka,2
Suriname,2
Montenegro,1
"Virgin Islands, US",1
Paraguay,1
Barbados,1
Mauritius,1
Iraq,1
Samoa,1
Senegal,1
Eritrea,1
Burkina Faso,1
Guatemala,1
Gabon,1
Turkmenistan,1
Netherlands Antilles,1
Cyprus,1
Tonga,1
Togo,1
Djibouti,1
Sudan,1
Guyana,1
