,country,medal_tally
0,Afghanistan,2
1,Algeria,17
2,Argentina,87
3,Armenia,18
4,Australasia,12
5,Australia,627
6,Austria,371
7,Azerbaijan,50
8,Bahamas,18
9,Bahrain,4
10,Barbados,1
11,Belarus,113
12,Belgium,170
13,Bermuda,2
14,Bohemia,4
15,Botswana,2
16,Brazil,180
17,Bulgaria,240
18,Burkina Faso,1
19,Burundi,2
20,Cameroon,6
21,Canada,602
22,Chile,14
23,Chinese Taipei,38
24,Colombia,34
25,Costa Rica,4
26,Croatia,60
27,Cuba,239
28,Cyprus,1
29,Czech Republic,110
30,Czechoslovakia,178
31,C̫te d'Ivoire,4
32,Democratic People's Republic of Korea,58
33,Denmark,233
34,Djibouti,1
35,Dominican Republic,12
36,Ecuador,5
37,Egypt,36
38,Eritrea,1
39,Estonia,46
40,Ethiopia,57
41,Federal Republic of Germany,266
42,Fiji,3
43,Finland,490
44,France,952
45,Gabon,1
46,Georgia,40
47,German Democratic Republic (Germany),562
48,Germany,1167
49,Ghana,5
50,Great Britain,1045
51,Greece,129
52,Grenada,3
53,Guatemala,1
54,Guyana,1
55,Haiti,2
56,"Hong Kong, China",10
57,Hungary,559
58,Iceland,4
59,Independent Olympic Athletes,5
60,India,35
61,Indonesia,47
62,Iraq,1
63,Ireland,38
64,Islamic Republic of Iran,76
65,Israel,13
66,Italy,805
67,Jamaica,86
68,Japan,587
69,Jordan,3
70,Kazakhstan,80
71,Kenya,112
72,Kosovo,3
73,Kuwait,3
74,Kyrgyzstan,7
75,Latvia,36
76,Lebanon,4
77,Liechtenstein,10
78,Lithuania,30
79,Luxembourg,5
80,MIX,31
81,Malaysia,19
82,Mauritius,1
83,Mexico,77
84,Mongolia,30
85,Montenegro,1
86,Morocco,24
87,Mozambique,2
88,Namibia,5
89,Netherlands,501
90,Netherlands Antilles,1
91,New Zealand,173
92,Niger,2
93,Nigeria,27
94,North Macedonia,2
95,Norway,589
96,Olympic Athletes from Russia,18
97,Pakistan,10
98,Panama,3
99,Paraguay,1
100,People's Republic of China,807
101,Peru,4
102,Philippines,14
103,Poland,345
104,Portugal,33
105,Puerto Rico,10
106,Qatar,9
107,ROC,119
108,Republic of Korea,393
109,Republic of Moldova,7
110,Romania,341
111,Russian Federation,599
112,Samoa,1
113,San Marino,4
114,Saudi Arabia,4
115,Senegal,1
116,Serbia,25
117,Serbia and Montenegro,9
118,Singapore,5
119,Slovakia,47
120,Slovenia,56
121,South Africa,95
122,Soviet Union,1272
123,Spain,206
124,Sri Lanka,2
125,Sudan,1
126,Suriname,2
127,Sweden,709
128,Switzerland,402
129,Syrian Arab Republic,4
130,Tajikistan,4
131,Thailand,35
132,Togo,1
133,Tonga,1
134,Trinidad and Tobago,19
135,Tunisia,15
136,Turkey,103
137,Turkmenistan,1
138,Uganda,11
139,Ukraine,159
140,Unified Team,141
141,United Arab Emirates,2
142,United Arab Republic,2
143,United Republic of Tanzania,2
144,United States of America,3094
145,Uruguay,12
146,Uzbekistan,36
147,Venezuela,19
148,Vietnam,4
149,"Virgin Islands, US",1
150,West Indies Federation,2
151,Yugoslavia,94
152,Zambia,2
153,Zimbabwe,8
